state,total_population_actual,total_population,total_students
Johor,4028300,4028.3,576634
Kedah,2163100,2163.1,337056
Kelantan,1830600,1830.6,290250
Melaka,1008600,1008.6,150887
Negeri Sembilan,1207900,1207.9,195606
Pahang,1614300,1614.3,257182
Perak,2514400,2514.4,367306
Perlis,289800,289.8,44420
Pulau Pinang,1740900,1740.9,231630
Sabah,3414900,3414.9,506864
Sarawak,2473500,2473.5,432479
Selangor,7050300,7050.3,923765
Terengganu,1186600,1186.6,235131
Kuala Lumpur,1961200,1961.2,221465
Labuan,96900,96.9,17027
Putrajaya,117000,117,34078
